"Sample","Genotype","Treatment","Sym.Status"
"C4","C","Cold","Brown"
"C5","C","Heat","Brown"
"C9","C","Control","Brown"
"D4","D","Control","Brown"
"D5","D","Cold","Brown"
"D6","D","Heat","Brown"
"E10","E","Cold","White"
"E11","E","Control","White"
"E3","E","Heat","White"
"F7","F","Control","Brown"
"F8","F","Cold","Brown"
"F9","F","Heat","Brown"
"H1","X","Control","White"
"I1","I","Control","Brown"
"I2","I","Cold","Brown"
"I3","I","Heat","Brown"
"J13","J","Control","Brown"
"J14","J","Cold","Brown"
"J15","J","Heat","Brown"
"K2","X","Cold","White"
"K3","X","Heat","White"
"L6","Y","Control","Brown"
"M2","Y","Cold","Brown"
"M3","Y","Heat","Brown"
"N4","Z","Control","White"
"O2","Z","Cold","White"
"Q1","Q","Control","White"
"Q11","Q","Heat","White"
"Q4","Q","Cold","White"
"R7","R","Control","Brown"
"R8","R","Cold","Brown"
"R9","R","Heat","Brown"
