"","Sample","Genotype","Treatment","Sym.Status"
"1","C4","C","Cold","Brown"
"2","C5","C","Heat","Brown"
"3","C9","C","Control","Brown"
"4","D4","D","Control","Brown"
"5","D5","D","Cold","Brown"
"6","D6","D","Heat","Brown"
"7","E10","E","Cold","White"
"8","E11","E","Control","White"
"9","E3","E","Heat","White"
"10","F7","F","Control","Brown"
"11","F8","F","Cold","Brown"
"12","F9","F","Heat","Brown"
"13","H1","X","Control","White"
"14","I1","I","Control","Brown"
"15","I2","I","Cold","Brown"
"16","I3","I","Heat","Brown"
"17","J13","J","Control","Brown"
"18","J14","J","Cold","Brown"
"19","J15","J","Heat","Brown"
"20","K2","X","Cold","White"
"21","K3","X","Heat","White"
"22","L6","Y","Control","Brown"
"23","M2","Y","Cold","Brown"
"24","M3","Y","Heat","Brown"
"25","N4","Z","Control","White"
"26","O2","Z","Cold","White"
"27","Q1","Q","Control","White"
"28","Q11","Q","Heat","White"
"29","Q4","Q","Cold","White"
"30","R7","R","Control","Brown"
"31","R8","R","Cold","Brown"
