"","group","treat_type","type","name","dist"
"OC4_F_B","cold_inhost:inhost","cold_inhost","inhost","OC4_F_B",4.27542152543817
"OC5_H_B","heat_inhost:inhost","heat_inhost","inhost","OC5_H_B",5.43024521665315
"OC9_C_B","control_inhost:inhost","control_inhost","inhost","OC9_C_B",0.945865674989897
"OD4_C_B","control_inhost:inhost","control_inhost","inhost","OD4_C_B",0.72991347001047
"OD5_F_B","cold_inhost:inhost","cold_inhost","inhost","OD5_F_B",2.90665055666269
"OD6_H_B","heat_inhost:inhost","heat_inhost","inhost","OD6_H_B",5.45420769093882
"OF7_C_B","control_inhost:inhost","control_inhost","inhost","OF7_C_B",4.48479281893289
"OF8_F_B","cold_inhost:inhost","cold_inhost","inhost","OF8_F_B",0.900505162010048
"OF9_H_B","heat_inhost:inhost","heat_inhost","inhost","OF9_H_B",6.33686859649085
"OI1_C_B","control_inhost:inhost","control_inhost","inhost","OI1_C_B",0.771166425850587
"OI2_F_B","cold_inhost:inhost","cold_inhost","inhost","OI2_F_B",1.88757366600013
"OI3_H_B","heat_inhost:inhost","heat_inhost","inhost","OI3_H_B",4.6594133036086
"OJ13_C_B","control_inhost:inhost","control_inhost","inhost","OJ13_C_B",1.37761408161354
"OJ14_F_B","cold_inhost:inhost","cold_inhost","inhost","OJ14_F_B",1.67748064264014
"OJ15_H_B","heat_inhost:inhost","heat_inhost","inhost","OJ15_H_B",6.64418023382231
"OM1_C_B","control_inhost:inhost","control_inhost","inhost","OM1_C_B",1.0194271118131
"OM2_F_B","cold_inhost:inhost","cold_inhost","inhost","OM2_F_B",4.36780296387566
"OM3_H_B","heat_inhost:inhost","heat_inhost","inhost","OM3_H_B",6.39962700995889
"OR7_C_B","control_inhost:inhost","control_inhost","inhost","OR7_C_B",0.19641337657539
"OR8_F_B","cold_inhost:inhost","cold_inhost","inhost","OR8_F_B",5.34318749606367
"OR9_H_B","heat_inhost:inhost","heat_inhost","inhost","OR9_H_B",5.26170007978839
"Control_1","control_culture:culture","control_culture","culture","Control_1",2.26949214742995
"Control_1.1","control_culture:culture","control_culture","culture","Control_1.1",2.34710380679974
"Control_2","control_culture:culture","control_culture","culture","Control_2",2.29854729244417
"Control_2.1","control_culture:culture","control_culture","culture","Control_2.1",6.86193032961168
"Control_3","control_culture:culture","control_culture","culture","Control_3",0.235442690319068
"Control_3.1","control_culture:culture","control_culture","culture","Control_3.1",0.475818468400303
"Control_4","control_culture:culture","control_culture","culture","Control_4",1.90329029165284
"Control_4.1","control_culture:culture","control_culture","culture","Control_4.1",1.66281104687453
"Cool_1","cold_culture:culture","cold_culture","culture","Cool_1",11.8698453070143
"Cool_2","cold_culture:culture","cold_culture","culture","Cool_2",9.1846546868019
"Cool_3","cold_culture:culture","cold_culture","culture","Cool_3",11.7009967909961
"Cool_4","cold_culture:culture","cold_culture","culture","Cool_4",5.98763759658604
"Heat_1","heat_culture:culture","heat_culture","culture","Heat_1",13.6020230173277
"Heat_1.1","heat_culture:culture","heat_culture","culture","Heat_1.1",9.69191804780352
"Heat_2","heat_culture:culture","heat_culture","culture","Heat_2",9.42350648871926
"Heat_2.1","heat_culture:culture","heat_culture","culture","Heat_2.1",9.99323862639849
"Heat_3","heat_culture:culture","heat_culture","culture","Heat_3",9.93575450858872
"Heat_3.1","heat_culture:culture","heat_culture","culture","Heat_3.1",9.01866717178354
"Heat_4","heat_culture:culture","heat_culture","culture","Heat_4",11.2773913102024
"Heat_4.1","heat_culture:culture","heat_culture","culture","Heat_4.1",9.34297038706476
