"","group","treat_type","sym_state","name","dist"
"OC4_F_B","cold_sym:sym","cold_sym","sym","OC4_F_B",25.6785990247757
"OC5_H_B","heat_sym:sym","heat_sym","sym","OC5_H_B",7.57909951349002
"OC9_C_B","control_sym:sym","control_sym","sym","OC9_C_B",8.37275541637739
"OD4_C_B","control_sym:sym","control_sym","sym","OD4_C_B",10.6180998669122
"OD5_F_B","cold_sym:sym","cold_sym","sym","OD5_F_B",31.0749813856208
"OD6_H_B","heat_sym:sym","heat_sym","sym","OD6_H_B",11.1405680759555
"OF7_C_B","control_sym:sym","control_sym","sym","OF7_C_B",2.2737480458098
"OF8_F_B","cold_sym:sym","cold_sym","sym","OF8_F_B",26.6957960477355
"OF9_H_B","heat_sym:sym","heat_sym","sym","OF9_H_B",5.42958474460386
"OI1_C_B","control_sym:sym","control_sym","sym","OI1_C_B",2.66446777728929
"OI2_F_B","cold_sym:sym","cold_sym","sym","OI2_F_B",28.4956531584723
"OI3_H_B","heat_sym:sym","heat_sym","sym","OI3_H_B",4.01872846817893
"OJ13_C_B","control_sym:sym","control_sym","sym","OJ13_C_B",4.25239083467509
"OJ14_F_B","cold_sym:sym","cold_sym","sym","OJ14_F_B",27.6873605223451
"OJ15_H_B","heat_sym:sym","heat_sym","sym","OJ15_H_B",3.13576008981752
"OM1_C_B","control_sym:sym","control_sym","sym","OM1_C_B",13.935503061415
"OM2_F_B","cold_sym:sym","cold_sym","sym","OM2_F_B",23.489613958525
"OM3_H_B","heat_sym:sym","heat_sym","sym","OM3_H_B",13.9069015332712
"OR7_C_B","control_sym:sym","control_sym","sym","OR7_C_B",2.15198425318309
"OR8_F_B","cold_sym:sym","cold_sym","sym","OR8_F_B",22.7420794702645
"OR9_H_B","heat_sym:sym","heat_sym","sym","OR9_H_B",3.41693972826442
"OE10_F_W","cold_apo:apo","cold_apo","apo","OE10_F_W",22.3550373743789
"OE11_C_W","control_apo:apo","control_apo","apo","OE11_C_W",4.39024135535394
"OE3_H_W","heat_apo:apo","heat_apo","apo","OE3_H_W",10.2594737308568
"OH1_C_W","control_apo:apo","control_apo","apo","OH1_C_W",21.7643365101573
"OH11_F_W","cold_apo:apo","cold_apo","apo","OH11_F_W",13.1900529341675
"OH15_H_W","heat_apo:apo","heat_apo","apo","OH15_H_W",6.25212110348653
"ON4_C_W","control_apo:apo","control_apo","apo","ON4_C_W",6.96116364147082
"ON5_F_W","cold_apo:apo","cold_apo","apo","ON5_F_W",21.9736703462751
"ON6_H_W","heat_apo:apo","heat_apo","apo","ON6_H_W",9.37185916387563
"OQ1_C_W","control_apo:apo","control_apo","apo","OQ1_C_W",12.4112349253515
"OQ11_H_W","heat_apo:apo","heat_apo","apo","OQ11_H_W",8.26215590806068
"OQ4_F_W","cold_apo:apo","cold_apo","apo","OQ4_F_W",22.682016405622
