"","sample","treatment","type","treat_type"
"1","OC4_F_B","freezing","inhost","freezing_inhost"
"2","OC5_H_B","hot","inhost","hot_inhost"
"3","OC9_C_B","control","inhost","control_inhost"
"4","OD4_C_B","control","inhost","control_inhost"
"5","OD5_F_B","freezing","inhost","freezing_inhost"
"6","OD6_H_B","hot","inhost","hot_inhost"
"7","OF7_C_B","control","inhost","control_inhost"
"8","OF8_F_B","freezing","inhost","freezing_inhost"
"9","OF9_H_B","hot","inhost","hot_inhost"
"10","OI1_C_B","control","inhost","control_inhost"
"11","OI2_F_B","freezing","inhost","freezing_inhost"
"12","OI3_H_B","hot","inhost","hot_inhost"
"13","OJ13_C_B","control","inhost","control_inhost"
"14","OJ14_F_B","freezing","inhost","freezing_inhost"
"15","OJ15_H_B","hot","inhost","hot_inhost"
"16","OL6_C_B","control","inhost","control_inhost"
"17","OL7_F_B","freezing","inhost","freezing_inhost"
"18","OL8_H_B","hot","inhost","hot_inhost"
"19","OM1_C_B","control","inhost","control_inhost"
"20","OM2_F_B","freezing","inhost","freezing_inhost"
"21","OM3_H_B","hot","inhost","hot_inhost"
"22","OR7_C_B","control","inhost","control_inhost"
"23","OR8_F_B","freezing","inhost","freezing_inhost"
"24","OR9_H_B","hot","inhost","hot_inhost"
"25","Control_1.1","control","culture","control_culture"
"26","Control_1","control","culture","control_culture"
"27","Control_2.1","control","culture","control_culture"
"28","Control_2","control","culture","control_culture"
"29","Control_3.1","control","culture","control_culture"
"30","Control_3","control","culture","control_culture"
"31","Control_4.1","control","culture","control_culture"
"32","Control_4","control","culture","control_culture"
"33","Cool_1","freezing","culture","freezing_culture"
"34","Cool_2","freezing","culture","freezing_culture"
"35","Cool_3","freezing","culture","freezing_culture"
"36","Cool_4","freezing","culture","freezing_culture"
"37","Heat_1.1","hot","culture","hot_culture"
"38","Heat_1","hot","culture","hot_culture"
"39","Heat_2.1","hot","culture","hot_culture"
"40","Heat_2","hot","culture","hot_culture"
"41","Heat_3.1","hot","culture","hot_culture"
"42","Heat_3","hot","culture","hot_culture"
"43","Heat_4.1","hot","culture","hot_culture"
"44","Heat_4","hot","culture","hot_culture"
